Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
29004 Alfarnatejo;;;Distribución de la renta P80/P20;2017;2,7
29004 Alfarnatejo;;;Distribución de la renta P80/P20;2016;2,6
29004 Alfarnatejo;;;Distribución de la renta P80/P20;2015;2,6
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Índice de Gini;2023;28,3
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Índice de Gini;2022;28,2
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Índice de Gini;2021;27,1
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Índice de Gini;2020;30,2
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Índice de Gini;2019;29
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Índice de Gini;2018;27
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Índice de Gini;2017;31,3
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Índice de Gini;2016;32,9
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Índice de Gini;2015;31,4
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Distribución de la renta P80/P20;2023;2,4
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Distribución de la renta P80/P20;2022;2,7
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Distribución de la renta P80/P20;2021;2,1
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Distribución de la renta P80/P20;2020;2,8
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Distribución de la renta P80/P20;2019;2,1
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Distribución de la renta P80/P20;2018;2,1
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Distribución de la renta P80/P20;2017;2,7
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Distribución de la renta P80/P20;2016;2,6
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;;Distribución de la renta P80/P20;2015;2,6
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Índice de Gini;2023;28,3
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Índice de Gini;2022;28,2
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Índice de Gini;2021;27,1
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Índice de Gini;2020;30,2
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Índice de Gini;2019;29
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Índice de Gini;2018;27
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Índice de Gini;2017;31,3
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Índice de Gini;2016;32,9
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Índice de Gini;2015;31,4
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Distribución de la renta P80/P20;2023;2,4
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Distribución de la renta P80/P20;2022;2,7
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Distribución de la renta P80/P20;2021;2,1
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Distribución de la renta P80/P20;2020;2,8
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Distribución de la renta P80/P20;2019;2,1
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Distribución de la renta P80/P20;2018;2,1
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Distribución de la renta P80/P20;2017;2,7
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Distribución de la renta P80/P20;2016;2,6
29004 Alfarnatejo;2900401 Alfarnatejo distrito 01;2900401001 Alfarnatejo sección 01001;Distribución de la renta P80/P20;2015;2,6
29005 Algarrobo;;;Índice de Gini;2023;30,1
29005 Algarrobo;;;Índice de Gini;2022;29,9
29005 Algarrobo;;;Índice de Gini;2021;30,1
29005 Algarrobo;;;Índice de Gini;2020;30,4
29005 Algarrobo;;;Índice de Gini;2019;30,1
29005 Algarrobo;;;Índice de Gini;2018;31,4
29005 Algarrobo;;;Índice de Gini;2017;32,4
29005 Algarrobo;;;Índice de Gini;2016;33,8
29005 Algarrobo;;;Índice de Gini;2015;34,3
29005 Algarrobo;;;Distribución de la renta P80/P20;2023;2,4
29005 Algarrobo;;;Distribución de la renta P80/P20;2022;2,5
29005 Algarrobo;;;Distribución de la renta P80/P20;2021;2,3
29005 Algarrobo;;;Distribución de la renta P80/P20;2020;2,4
29005 Algarrobo;;;Distribución de la renta P80/P20;2019;2,4
29005 Algarrobo;;;Distribución de la renta P80/P20;2018;2,6
29005 Algarrobo;;;Distribución de la renta P80/P20;2017;2,6
29005 Algarrobo;;;Distribución de la renta P80/P20;2016;2,9
29005 Algarrobo;;;Distribución de la renta P80/P20;2015;2,9
29005 Algarrobo;2900501 Algarrobo distrito 01;;Índice de Gini;2023;30,1
29005 Algarrobo;2900501 Algarrobo distrito 01;;Índice de Gini;2022;29,9
29005 Algarrobo;2900501 Algarrobo distrito 01;;Índice de Gini;2021;30,1
29005 Algarrobo;2900501 Algarrobo distrito 01;;Índice de Gini;2020;30,4
29005 Algarrobo;2900501 Algarrobo distrito 01;;Índice de Gini;2019;30,1
29005 Algarrobo;2900501 Algarrobo distrito 01;;Índice de Gini;2018;31,4
29005 Algarrobo;2900501 Algarrobo distrito 01;;Índice de Gini;2017;32,4
29005 Algarrobo;2900501 Algarrobo distrito 01;;Índice de Gini;2016;33,8
29005 Algarrobo;2900501 Algarrobo distrito 01;;Índice de Gini;2015;34,3
29005 Algarrobo;2900501 Algarrobo distrito 01;;Distribución de la renta P80/P20;2023;2,4
29005 Algarrobo;2900501 Algarrobo distrito 01;;Distribución de la renta P80/P20;2022;2,5
29005 Algarrobo;2900501 Algarrobo distrito 01;;Distribución de la renta P80/P20;2021;2,3
