Municipios;Sexo;Periodo;Total
29010 Almargen;Hombres;2015;1.070
29010 Almargen;Mujeres;2025;933
29010 Almargen;Mujeres;2024;949
29010 Almargen;Mujeres;2023;950
29010 Almargen;Mujeres;2022;951
29010 Almargen;Mujeres;2021;954
29010 Almargen;Mujeres;2020;955
29010 Almargen;Mujeres;2019;959
29010 Almargen;Mujeres;2018;971
29010 Almargen;Mujeres;2017;979
29010 Almargen;Mujeres;2016;1.000
29010 Almargen;Mujeres;2015;1.011
29011 Almogía;Total;2025;4.269
29011 Almogía;Total;2024;4.132
29011 Almogía;Total;2023;3.967
29011 Almogía;Total;2022;3.885
29011 Almogía;Total;2021;3.859
29011 Almogía;Total;2020;3.792
29011 Almogía;Total;2019;3.715
29011 Almogía;Total;2018;3.770
29011 Almogía;Total;2017;3.765
29011 Almogía;Total;2016;3.786
29011 Almogía;Total;2015;3.826
29011 Almogía;Hombres;2025;2.220
29011 Almogía;Hombres;2024;2.151
29011 Almogía;Hombres;2023;2.065
29011 Almogía;Hombres;2022;2.021
29011 Almogía;Hombres;2021;2.002
29011 Almogía;Hombres;2020;1.969
29011 Almogía;Hombres;2019;1.922
29011 Almogía;Hombres;2018;1.950
29011 Almogía;Hombres;2017;1.937
29011 Almogía;Hombres;2016;1.940
29011 Almogía;Hombres;2015;1.968
29011 Almogía;Mujeres;2025;2.049
29011 Almogía;Mujeres;2024;1.981
29011 Almogía;Mujeres;2023;1.902
29011 Almogía;Mujeres;2022;1.864
29011 Almogía;Mujeres;2021;1.857
29011 Almogía;Mujeres;2020;1.823
29011 Almogía;Mujeres;2019;1.793
29011 Almogía;Mujeres;2018;1.820
29011 Almogía;Mujeres;2017;1.828
29011 Almogía;Mujeres;2016;1.846
29011 Almogía;Mujeres;2015;1.858
29012 Álora;Total;2025;13.650
29012 Álora;Total;2024;13.570
29012 Álora;Total;2023;13.512
29012 Álora;Total;2022;13.382
29012 Álora;Total;2021;13.336
29012 Álora;Total;2020;13.112
29012 Álora;Total;2019;12.985
29012 Álora;Total;2018;12.951
29012 Álora;Total;2017;12.924
29012 Álora;Total;2016;12.941
29012 Álora;Total;2015;13.003
29012 Álora;Hombres;2025;6.819
29012 Álora;Hombres;2024;6.808
29012 Álora;Hombres;2023;6.812
29012 Álora;Hombres;2022;6.765
29012 Álora;Hombres;2021;6.764
29012 Álora;Hombres;2020;6.633
29012 Álora;Hombres;2019;6.572
29012 Álora;Hombres;2018;6.533
29012 Álora;Hombres;2017;6.527
29012 Álora;Hombres;2016;6.528
29012 Álora;Hombres;2015;6.540
29012 Álora;Mujeres;2025;6.831
29012 Álora;Mujeres;2024;6.762
29012 Álora;Mujeres;2023;6.700
29012 Álora;Mujeres;2022;6.617
29012 Álora;Mujeres;2021;6.572
29012 Álora;Mujeres;2020;6.479
29012 Álora;Mujeres;2019;6.413
29012 Álora;Mujeres;2018;6.418
29012 Álora;Mujeres;2017;6.397
29012 Álora;Mujeres;2016;6.413
29012 Álora;Mujeres;2015;6.463
29013 Alozaina;Total;2025;2.127
29013 Alozaina;Total;2024;2.130
29013 Alozaina;Total;2023;2.065
29013 Alozaina;Total;2022;2.089
29013 Alozaina;Total;2021;2.090
29013 Alozaina;Total;2020;2.061
29013 Alozaina;Total;2019;2.051
29013 Alozaina;Total;2018;2.015
29013 Alozaina;Total;2017;2.017
29013 Alozaina;Total;2016;2.030
29013 Alozaina;Total;2015;2.082
29013 Alozaina;Hombres;2025;1.071
29013 Alozaina;Hombres;2024;1.082
29013 Alozaina;Hombres;2023;1.041
29013 Alozaina;Hombres;2022;1.050
29013 Alozaina;Hombres;2021;1.057
29013 Alozaina;Hombres;2020;1.048
29013 Alozaina;Hombres;2019;1.050
29013 Alozaina;Hombres;2018;1.029
29013 Alozaina;Hombres;2017;1.019
29013 Alozaina;Hombres;2016;1.023
29013 Alozaina;Hombres;2015;1.051
29013 Alozaina;Mujeres;2025;1.056
29013 Alozaina;Mujeres;2024;1.048
29013 Alozaina;Mujeres;2023;1.024
29013 Alozaina;Mujeres;2022;1.039
29013 Alozaina;Mujeres;2021;1.033
29013 Alozaina;Mujeres;2020;1.013
29013 Alozaina;Mujeres;2019;1.001
29013 Alozaina;Mujeres;2018;986
29013 Alozaina;Mujeres;2017;998
29013 Alozaina;Mujeres;2016;1.007
29013 Alozaina;Mujeres;2015;1.031
29014 Alpandeire;Total;2025;242
29014 Alpandeire;Total;2024;258
29014 Alpandeire;Total;2023;281
29014 Alpandeire;Total;2022;266
29014 Alpandeire;Total;2021;261
29014 Alpandeire;Total;2020;263
29014 Alpandeire;Total;2019;260
29014 Alpandeire;Total;2018;252
29014 Alpandeire;Total;2017;244
29014 Alpandeire;Total;2016;246
29014 Alpandeire;Total;2015;257
29014 Alpandeire;Hombres;2025;124
29014 Alpandeire;Hombres;2024;135
29014 Alpandeire;Hombres;2023;139
